0	0000
10b27	𐬧
10b28	𐬨
10b29	𐬩
10b2a	𐬪
10b2b	𐬫
10b2c	𐬬
10b2d	𐬭
10b2e	𐬮
10b2f	𐬯
10b30	𐬰
10b31	𐬱
10b32	𐬲
10b33	𐬳
10b34	𐬴
10b35	𐬵
10b39	𐬹
10b3a	𐬺
10b3b	𐬻
10b3c	𐬼
10b3d	𐬽
10b3e	𐬾
10b3f	𐬿
10b40	𐭀
10b41	𐭁
10b42	𐭂
10b43	𐭃
10b44	𐭄
10b45	𐭅
10b46	𐭆
10b47	𐭇
10b48	𐭈
10b49	𐭉
10b4a	𐭊
10b4b	𐭋
10b4c	𐭌
10b4d	𐭍
10b4e	𐭎
10b4f	𐭏
10b50	𐭐
10b51	𐭑
10b52	𐭒
10b53	𐭓
10b54	𐭔
10b55	𐭕
10b58	𐭘
10b59	𐭙
10b5a	𐭚
10b5b	𐭛
10b5c	𐭜
10b5d	𐭝
10b5e	𐭞
10b5f	𐭟
10b60	𐭠
10b61	𐭡
10b62	𐭢
10b63	𐭣
10b64	𐭤
10b65	𐭥
10b66	𐭦
10b67	𐭧
10b68	𐭨
10b69	𐭩
10b6a	𐭪
10b6b	𐭫
10b6c	𐭬
10b6d	𐭭
10b6e	𐭮
10b6f	𐭯
10b70	𐭰
10b71	𐭱
10b72	𐭲
10b78	𐭸
10b79	𐭹
10b7a	𐭺
10b7b	𐭻
10b7c	𐭼
10b7d	𐭽
10b7e	𐭾
10b7f	𐭿
10b80	𐮀
10b81	𐮁
10b82	𐮂
10b83	𐮃
10b84	𐮄
10b85	𐮅
10b86	𐮆
10b87	𐮇
10b88	𐮈
10b89	𐮉
10b8a	𐮊
10b8b	𐮋
10b8c	𐮌
10b8d	𐮍
10b8e	𐮎
10b8f	𐮏
10b90	𐮐
10b91	𐮑
10b99	𐮙
10b9a	𐮚
10b9b	𐮛
10b9c	𐮜
10ba9	𐮩
10baa	𐮪
10bab	𐮫
10bac	𐮬
10bad	𐮭
10bae	𐮮
10baf	𐮯
10c00	𐰀
10c01	𐰁
10c02	𐰂
10c03	𐰃
10c04	𐰄
10c05	𐰅
10c06	𐰆
10c07	𐰇
10c08	𐰈
10c09	𐰉
10c0a	𐰊
10c0b	𐰋
10c0c	𐰌
10c0d	𐰍
10c0e	𐰎
10c0f	𐰏
10c10	𐰐
10c11	𐰑
10c12	𐰒
10c13	𐰓
10c14	𐰔
10c15	𐰕
10c16	𐰖
10c17	𐰗
10c18	𐰘
10c19	𐰙
10c1a	𐰚
10c1b	𐰛
10c1c	𐰜
10c1d	𐰝
10c1e	𐰞
10c1f	𐰟
10c20	𐰠
10c21	𐰡
10c22	𐰢
10c23	𐰣
10c24	𐰤
10c25	𐰥
10c26	𐰦
10c27	𐰧
10c28	𐰨
10c29	𐰩
10c2a	𐰪
10c2b	𐰫
10c2c	𐰬
10c2d	𐰭
10c2e	𐰮
10c2f	𐰯
10c30	𐰰
10c31	𐰱
10c32	𐰲
10c33	𐰳
10c34	𐰴
10c35	𐰵
10c36	𐰶
10c37	𐰷
10c38	𐰸
10c39	𐰹
10c3a	𐰺
10c3b	𐰻
10c3c	𐰼
10c3d	𐰽
10c3e	𐰾
10c3f	𐰿
10c40	𐱀
10c41	𐱁
10c42	𐱂
10c43	𐱃
10c44	𐱄
10c45	𐱅
10c46	𐱆
10c47	𐱇
10c48	𐱈
10c80	𐲀
10c81	𐲁
10c82	𐲂
10c83	𐲃
10c84	𐲄
10c85	𐲅
10c86	𐲆
10c87	𐲇
10c88	𐲈
10c89	𐲉
10c8a	𐲊
10c8b	𐲋
10c8c	𐲌
10c8d	𐲍
10c8e	𐲎
10c8f	𐲏
10c90	𐲐
10c91	𐲑
10c92	𐲒
10c93	𐲓
10c94	𐲔
10c95	𐲕
10c96	𐲖
10c97	𐲗
10c98	𐲘
10c99	𐲙
10c9a	𐲚
10c9b	𐲛
10c9c	𐲜
10c9d	𐲝
10c9e	𐲞
10c9f	𐲟
10ca0	𐲠
10ca1	𐲡
10ca2	𐲢
10ca3	𐲣
10ca4	𐲤
10ca5	𐲥
10ca6	𐲦
10ca7	𐲧
10ca8	𐲨
10ca9	𐲩
10caa	𐲪
10cab	𐲫
10cac	𐲬
10cad	𐲭
10cae	𐲮
10caf	𐲯
10cb0	𐲰
10cb1	𐲱
10cb2	𐲲
10cc0	𐳀
10cc1	𐳁
10cc2	𐳂
10cc3	𐳃
10cc4	𐳄
10cc5	𐳅
10cc6	𐳆
10cc7	𐳇
10cc8	𐳈
10cc9	𐳉
10cca	𐳊
10ccb	𐳋
10ccc	𐳌
10ccd	𐳍
10cce	𐳎
10ccf	𐳏
10cd0	𐳐
10cd1	𐳑
10cd2	𐳒
10cd3	𐳓
10cd4	𐳔
10cd5	𐳕
10cd6	𐳖
10cd7	𐳗
10cd8	𐳘
10cd9	𐳙
10cda	𐳚
10cdb	𐳛
10cdc	𐳜
10cdd	𐳝
10cde	𐳞
10cdf	𐳟
10ce0	𐳠
10ce1	𐳡
10ce2	𐳢
10ce3	𐳣
10ce4	𐳤
10ce5	𐳥
10ce6	𐳦
10ce7	𐳧
10ce8	𐳨
10ce9	𐳩
10cea	𐳪
10ceb	𐳫
10cec	𐳬
10ced	𐳭
10cee	𐳮
10cef	𐳯
10cf0	𐳰
10cf1	𐳱
10cf2	𐳲
10cfa	𐳺
10cfb	𐳻
10cfc	𐳼
10cfd	𐳽
10cfe	𐳾
10cff	𐳿
10d00	𐴀
10d01	𐴁
10d02	𐴂
10d03	𐴃
10d04	𐴄
10d05	𐴅
10d06	𐴆
10d07	𐴇
10d08	𐴈
10d09	𐴉
10d0a	𐴊
10d0b	𐴋
10d0c	𐴌
10d0d	𐴍
10d0e	𐴎
10d0f	𐴏
10d10	𐴐
10d11	𐴑
10d12	𐴒
10d13	𐴓
10d14	𐴔
10d15	𐴕
10d16	𐴖
10d17	𐴗
10d18	𐴘
10d19	𐴙
10d1a	𐴚
10d1b	𐴛
10d1c	𐴜
10d1d	𐴝
10d1e	𐴞
10d1f	𐴟
10d20	𐴠
10d21	𐴡
10d22	𐴢
10d23	𐴣
10d24	𐴤
10d25	𐴥
10d26	𐴦
10d27	𐴧
10d30	𐴰
10d31	𐴱
10d32	𐴲
10d33	𐴳
10d34	𐴴
10d35	𐴵
10d36	𐴶
10d37	𐴷
10d38	𐴸
10d39	𐴹
10e60	𐹠
10e61	𐹡
10e62	𐹢
10e63	𐹣
10e64	𐹤
10e65	𐹥
10e66	𐹦
10e67	𐹧
10e68	𐹨
10e69	𐹩
10e6a	𐹪
10e6b	𐹫
10e6c	𐹬
10e6d	𐹭
10e6e	𐹮
10e6f	𐹯
10e70	𐹰
10e71	𐹱
10e72	𐹲
10e73	𐹳
10e74	𐹴
10e75	𐹵
10e76	𐹶
10e77	𐹷
10e78	𐹸
10e79	𐹹
10e7a	𐹺
10e7b	𐹻
10e7c	𐹼
10e7d	𐹽
10e7e	𐹾
10f00	𐼀
10f01	𐼁
10f02	𐼂
10f03	𐼃
10f04	𐼄
10f05	𐼅
10f06	𐼆
10f07	𐼇
10f08	𐼈
10f09	𐼉
10f0a	𐼊
10f0b	𐼋
10f0c	𐼌
10f0d	𐼍
10f0e	𐼎
10f0f	𐼏
10f10	𐼐
10f11	𐼑
10f12	𐼒
10f13	𐼓
10f14	𐼔
10f15	𐼕
10f16	𐼖
10f17	𐼗
10f18	𐼘
10f19	𐼙
10f1a	𐼚
10f1b	𐼛
10f1c	𐼜
10f1d	𐼝
10f1e	𐼞
10f1f	𐼟
10f20	𐼠
10f21	𐼡
10f22	𐼢
10f23	𐼣
10f24	𐼤
10f25	𐼥
10f26	𐼦
10f27	𐼧
10f30	𐼰
10f31	𐼱
10f32	𐼲
10f33	𐼳
10f34	𐼴
10f35	𐼵
10f36	𐼶
10f37	𐼷
10f38	𐼸
10f39	𐼹
10f3a	𐼺
10f3b	𐼻
10f3c	𐼼
10f3d	𐼽
10f3e	𐼾
10f3f	𐼿
10f40	𐽀
10f41	𐽁
10f42	𐽂
10f43	𐽃
10f44	𐽄
10f45	𐽅
10f46	𐽆
10f47	𐽇
10f48	𐽈
10f49	𐽉
10f4a	𐽊
10f4b	𐽋
10f4c	𐽌
10f4d	𐽍
10f4e	𐽎
10f4f	𐽏
10f50	𐽐
10f51	𐽑
10f52	𐽒
10f53	𐽓
10f54	𐽔
10f55	𐽕
10f56	𐽖
10f57	𐽗
10f58	𐽘
10f59	𐽙
11000	𑀀
11001	𑀁
11002	𑀂
11003	𑀃
11004	𑀄
11005	𑀅
11006	𑀆
11007	𑀇
11008	𑀈
11009	𑀉
1100a	𑀊
1100b	𑀋
1100c	𑀌
1100d	𑀍
1100e	𑀎
1100f	𑀏
11010	𑀐
11011	𑀑
11012	𑀒
11013	𑀓
11014	𑀔
11015	𑀕
11016	𑀖
11017	𑀗
11018	𑀘
11019	𑀙
1101a	𑀚
1101b	𑀛
1101c	𑀜
1101d	𑀝
1101e	𑀞
1101f	𑀟
11020	𑀠
11021	𑀡
11022	𑀢
11023	𑀣
11024	𑀤
11025	𑀥
11026	𑀦
11027	𑀧
11028	𑀨
11029	𑀩
1102a	𑀪
1102b	𑀫
1102c	𑀬
1102d	𑀭
1102e	𑀮
1102f	𑀯
11030	𑀰
11031	𑀱
11032	𑀲
11033	𑀳
11034	𑀴
11035	𑀵
11036	𑀶
11037	𑀷
11038	𑀸
11039	𑀹
1103a	𑀺
1103b	𑀻
1103c	𑀼
1103d	𑀽
1103e	𑀾
1103f	𑀿
11040	𑁀
11041	𑁁
11042	𑁂
11043	𑁃
11044	𑁄
11045	𑁅
11046	𑁆
11047	𑁇
11048	𑁈
11049	𑁉
1104a	𑁊
1104b	𑁋
1104c	𑁌
1104d	𑁍
11052	𑁒
11053	𑁓
11054	𑁔
11055	𑁕
11056	𑁖
11057	𑁗
11058	𑁘
11059	𑁙
1105a	𑁚
1105b	𑁛
1105c	𑁜
1105d	𑁝
1105e	𑁞
1105f	𑁟
11060	𑁠
11061	𑁡
11062	𑁢
11063	𑁣
11064	𑁤
11065	𑁥
11066	𑁦
11067	𑁧
11068	𑁨
11069	𑁩
1106a	𑁪
1106b	𑁫
1106c	𑁬
1106d	𑁭
1106e	𑁮
1106f	𑁯
1107f	𑁿
11080	𑂀
11081	𑂁
11082	𑂂
11083	𑂃
11084	𑂄
11085	𑂅
11086	𑂆
11087	𑂇
11088	𑂈
11089	𑂉
1108a	𑂊
1108b	𑂋
1108c	𑂌
1108d	𑂍
1108e	𑂎
1108f	𑂏
11090	𑂐
11091	𑂑
11092	𑂒
11093	𑂓
11094	𑂔
11095	𑂕
11096	𑂖
11097	𑂗
11098	𑂘
11099	𑂙
1109a	𑂚
1109b	𑂛
1109c	𑂜
1109d	𑂝
1109e	𑂞
1109f	𑂟
110a0	𑂠
110a1	𑂡
110a2	𑂢
110a3	𑂣
110a4	𑂤
110a5	𑂥
110a6	𑂦
110a7	𑂧
110a8	𑂨
110a9	𑂩
110aa	𑂪
110ab	𑂫
110ac	𑂬
110ad	𑂭
110ae	𑂮
110af	𑂯
110b0	𑂰
110b1	𑂱
110b2	𑂲
110b3	𑂳
110b4	𑂴
110b5	𑂵
110b6	𑂶
110b7	𑂷
110b8	𑂸
110b9	𑂹
110ba	𑂺
110bb	𑂻
110bc	𑂼
110bd	𑂽
110be	𑂾
110bf	𑂿
110c0	𑃀
110c1	𑃁
110cd	𑃍
110d0	𑃐
110d1	𑃑
110d2	𑃒
110d3	𑃓
110d4	𑃔
110d5	𑃕
110d6	𑃖
110d7	𑃗
110d8	𑃘
110d9	𑃙
110da	𑃚
110db	𑃛
110dc	𑃜
110dd	𑃝
110de	𑃞
110df	𑃟
110e0	𑃠
110e1	𑃡
110e2	𑃢
110e3	𑃣
110e4	𑃤
110e5	𑃥
110e6	𑃦
110e7	𑃧
110e8	𑃨
110f0	𑃰
110f1	𑃱
110f2	𑃲
110f3	𑃳
110f4	𑃴
110f5	𑃵
110f6	𑃶
110f7	𑃷
110f8	𑃸
110f9	𑃹
11100	𑄀
11101	𑄁
11102	𑄂
11103	𑄃
11104	𑄄
11105	𑄅
11106	𑄆
11107	𑄇
11108	𑄈
11109	𑄉
1110a	𑄊
1110b	𑄋
1110c	𑄌
1110d	𑄍
1110e	𑄎
1110f	𑄏
11110	𑄐
11111	𑄑
11112	𑄒
11113	𑄓
11114	𑄔
11115	𑄕
11116	𑄖
11117	𑄗
11118	𑄘
11119	𑄙
1111a	𑄚
1111b	𑄛
1111c	𑄜
1111d	𑄝
1111e	𑄞
1111f	𑄟
11120	𑄠
11121	𑄡
11122	𑄢
11123	𑄣
11124	𑄤
11125	𑄥
11126	𑄦
11127	𑄧
11128	𑄨
11129	𑄩
1112a	𑄪
1112b	𑄫
1112c	𑄬
1112d	𑄭
1112e	𑄮
1112f	𑄯
11130	𑄰
11131	𑄱
11132	𑄲
11133	𑄳
11134	𑄴
11136	𑄶
11137	𑄷
11138	𑄸
11139	𑄹
1113a	𑄺
1113b	𑄻
1113c	𑄼
1113d	𑄽
1113e	𑄾
1113f	𑄿
11140	𑅀
11141	𑅁
11142	𑅂
11143	𑅃
11144	𑅄
11145	𑅅
11146	𑅆
11150	𑅐
11151	𑅑
11152	𑅒
11153	𑅓
11154	𑅔
11155	𑅕
11156	𑅖
11157	𑅗
11158	𑅘
11159	𑅙
1115a	𑅚
1115b	𑅛
1115c	𑅜
1115d	𑅝
1115e	𑅞
1115f	𑅟
11160	𑅠
11161	𑅡
11162	𑅢
11163	𑅣
11164	𑅤
11165	𑅥
11166	𑅦
11167	𑅧
11168	𑅨
11169	𑅩
1116a	𑅪
1116b	𑅫
1116c	𑅬
1116d	𑅭
1116e	𑅮
1116f	𑅯
11170	𑅰
11171	𑅱
11172	𑅲
11173	𑅳
11174	𑅴
11175	𑅵
11176	𑅶
11180	𑆀
11181	𑆁
11182	𑆂
11183	𑆃
11184	𑆄
11185	𑆅
11186	𑆆
11187	𑆇
11188	𑆈
11189	𑆉
1118a	𑆊
1118b	𑆋
1118c	𑆌
1118d	𑆍
1118e	𑆎
1118f	𑆏
11190	𑆐
11191	𑆑
11192	𑆒
11193	𑆓
11194	𑆔
11195	𑆕
11196	𑆖
11197	𑆗
11198	𑆘
11199	𑆙
1119a	𑆚
1119b	𑆛
1119c	𑆜
1119d	𑆝
1119e	𑆞
1119f	𑆟
111a0	𑆠
111a1	𑆡
111a2	𑆢
111a3	𑆣
111a4	𑆤
111a5	𑆥
111a6	𑆦
111a7	𑆧
111a8	𑆨
111a9	𑆩
111aa	𑆪
111ab	𑆫
111ac	𑆬
111ad	𑆭
111ae	𑆮
111af	𑆯
111b0	𑆰
111b1	𑆱
111b2	𑆲
111b3	𑆳
111b4	𑆴
111b5	𑆵
111b6	𑆶
111b7	𑆷
111b8	𑆸
111b9	𑆹
111ba	𑆺
111bb	𑆻
111bc	𑆼
111bd	𑆽
111be	𑆾
111bf	𑆿
111c0	𑇀
111c1	𑇁
111c2	𑇂
111c3	𑇃
111c4	𑇄
111c5	𑇅
111c6	𑇆
111c7	𑇇
111c8	𑇈
111c9	𑇉
111ca	𑇊
111cb	𑇋
111cc	𑇌
111cd	𑇍
111d0	𑇐
111d1	𑇑
111d2	𑇒
111d3	𑇓
111d4	𑇔
111d5	𑇕
111d6	𑇖
111d7	𑇗
111d8	𑇘
111d9	𑇙
111da	𑇚
111db	𑇛
111dc	𑇜
111dd	𑇝
111de	𑇞
111df	𑇟
111e1	𑇡
111e2	𑇢
111e3	𑇣
111e4	𑇤
111e5	𑇥
111e6	𑇦
111e7	𑇧
111e8	𑇨
111e9	𑇩
111ea	𑇪
111eb	𑇫
111ec	𑇬
111ed	𑇭
111ee	𑇮
111ef	𑇯
111f0	𑇰
111f1	𑇱
111f2	𑇲
111f3	𑇳
111f4	𑇴
11200	𑈀
11201	𑈁
11202	𑈂
11203	𑈃
11204	𑈄
11205	𑈅
11206	𑈆
11207	𑈇
11208	𑈈
11209	𑈉
1120a	𑈊
1120b	𑈋
1120c	𑈌
1120d	𑈍
1120e	𑈎
1120f	𑈏
11210	𑈐
11211	𑈑
11213	𑈓
11214	𑈔
11215	𑈕
11216	𑈖
11217	𑈗
11218	𑈘
11219	𑈙
1121a	𑈚
1121b	𑈛
1121c	𑈜
1121d	𑈝
1121e	𑈞
1121f	𑈟
11220	𑈠
11221	𑈡
11222	𑈢
11223	𑈣
11224	𑈤
11225	𑈥
11226	𑈦
11227	𑈧
11228	𑈨
11229	𑈩
1122a	𑈪
1122b	𑈫
1122c	𑈬
1122d	𑈭
1122e	𑈮
1122f	𑈯
11230	𑈰
11231	𑈱
11232	𑈲
11233	𑈳
11234	𑈴
11235	𑈵
11236	𑈶
11237	𑈷
11238	𑈸
11239	𑈹
1123a	𑈺
1123b	𑈻
1123c	𑈼
1123d	𑈽
1123e	𑈾
11280	𑊀
11281	𑊁
11282	𑊂
11283	𑊃
11284	𑊄
11285	𑊅
11286	𑊆
11288	𑊈
1128a	𑊊
1128b	𑊋
1128c	𑊌
1128d	𑊍
1128f	𑊏
11290	𑊐
11291	𑊑
11292	𑊒
11293	𑊓
11294	𑊔
11295	𑊕
11296	𑊖
11297	𑊗
11298	𑊘
11299	𑊙
1129a	𑊚
1129b	𑊛
1129c	𑊜
1129d	𑊝
1129f	𑊟
112a0	𑊠
112a1	𑊡
112a2	𑊢
112a3	𑊣
112a4	𑊤
112a5	𑊥
112a6	𑊦
112a7	𑊧
112a8	𑊨
112a9	𑊩
112b0	𑊰
112b1	𑊱
112b2	𑊲
112b3	𑊳
112b4	𑊴
112b5	𑊵
112b6	𑊶
112b7	𑊷
112b8	𑊸
112b9	𑊹
112ba	𑊺
112bb	𑊻
112bc	𑊼
112bd	𑊽
112be	𑊾
112bf	𑊿
112c0	𑋀
112c1	𑋁
112c2	𑋂
112c3	𑋃
112c4	𑋄
112c5	𑋅
112c6	𑋆
112c7	𑋇
112c8	𑋈
112c9	𑋉
112ca	𑋊
112cb	𑋋
112cc	𑋌
112cd	𑋍
112ce	𑋎
112cf	𑋏
112d0	𑋐
112d1	𑋑
112d2	𑋒
112d3	𑋓
112d4	𑋔
112d5	𑋕
112d6	𑋖
112d7	𑋗
112d8	𑋘
112d9	𑋙
112da	𑋚
112db	𑋛
112dc	𑋜
112dd	𑋝
112de	𑋞
112df	𑋟
112e0	𑋠
112e1	𑋡
112e2	𑋢
112e3	𑋣
112e4	𑋤
112e5	𑋥
112e6	𑋦
112e7	𑋧
112e8	𑋨
112e9	𑋩
112ea	𑋪
112f0	𑋰
112f1	𑋱
112f2	𑋲
112f3	𑋳
112f4	𑋴
112f5	𑋵
112f6	𑋶
112f7	𑋷
112f8	𑋸
112f9	𑋹
11300	𑌀
11301	𑌁
11302	𑌂
11303	𑌃
11305	𑌅
11306	𑌆
11307	𑌇
11308	𑌈
11309	𑌉
1130a	𑌊
1130b	𑌋
1130c	𑌌
1130f	𑌏
11310	𑌐
11313	𑌓
11314	𑌔
11315	𑌕
11316	𑌖
11317	𑌗
11318	𑌘
11319	𑌙
1131a	𑌚
1131b	𑌛
1131c	𑌜
1131d	𑌝
1131e	𑌞
1131f	𑌟
11320	𑌠
11321	𑌡
11322	𑌢
11323	𑌣
11324	𑌤
11325	𑌥
11326	𑌦
11327	𑌧
11328	𑌨
1132a	𑌪
1132b	𑌫
1132c	𑌬
1132d	𑌭
1132e	𑌮
1132f	𑌯
11330	𑌰
11332	𑌲
11333	𑌳
11335	𑌵
11336	𑌶
11337	𑌷
11338	𑌸
11339	𑌹
1133b	𑌻
1133c	𑌼
1133d	𑌽
1133e	𑌾
1133f	𑌿
11340	𑍀
11341	𑍁
11342	𑍂
11343	𑍃
11344	𑍄
11347	𑍇
11348	𑍈
1134b	𑍋
1134c	𑍌
1134d	𑍍
11350	𑍐
11357	𑍗
1135d	𑍝
1135e	𑍞
1135f	𑍟
11360	𑍠
11361	𑍡
11362	𑍢
11363	𑍣
11366	𑍦
11367	𑍧
11368	𑍨
11369	𑍩
1136a	𑍪
1136b	𑍫
1136c	𑍬
11370	𑍰
11371	𑍱
11372	𑍲
11373	𑍳
11374	𑍴
11400	𑐀
11401	𑐁
11402	𑐂
11403	𑐃
11404	𑐄
11405	𑐅
11406	𑐆
11407	𑐇
11408	𑐈
11409	𑐉
1140a	𑐊
1140b	𑐋
1140c	𑐌
1140d	𑐍
1140e	𑐎
1140f	𑐏
11410	𑐐
11411	𑐑
11412	𑐒
11413	𑐓
11414	𑐔
11415	𑐕
11416	𑐖
11417	𑐗
11418	𑐘
11419	𑐙
1141a	𑐚
1141b	𑐛
1141c	𑐜
1141d	𑐝
1141e	𑐞
1141f	𑐟
11420	𑐠
11421	𑐡
11422	𑐢
11423	𑐣
11424	𑐤
11425	𑐥
11426	𑐦
11427	𑐧
11428	𑐨
11429	𑐩
1142a	𑐪
1142b	𑐫
1142c	𑐬
1142d	𑐭
1142e	𑐮
1142f	𑐯
11430	𑐰
11431	𑐱
11432	𑐲
11433	𑐳
11434	𑐴
11435	𑐵
11436	𑐶
11437	𑐷
11438	𑐸
11439	𑐹
1143a	𑐺
1143b	𑐻
1143c	𑐼
1143d	𑐽
1143e	𑐾
1143f	𑐿
11440	𑑀
11441	𑑁
11442	𑑂
11443	𑑃
11444	𑑄
11445	𑑅
11446	𑑆
11447	𑑇
11448	𑑈
11449	𑑉
1144a	𑑊
1144b	𑑋
1144c	𑑌
1144d	𑑍
1144e	𑑎
1144f	𑑏
11450	𑑐
11451	𑑑
11452	𑑒
11453	𑑓
11454	𑑔
11455	𑑕
11456	𑑖
11457	𑑗
11458	𑑘
11459	𑑙
1145b	𑑛
1145d	𑑝
1145e	𑑞
11480	𑒀
11481	𑒁
11482	𑒂
11483	𑒃
11484	𑒄
11485	𑒅
11486	𑒆
11487	𑒇
11488	𑒈
11489	𑒉
1148a	𑒊
1148b	𑒋
1148c	𑒌
1148d	𑒍
1148e	𑒎
1148f	𑒏
11490	𑒐
11491	𑒑
11492	𑒒
11493	𑒓
11494	𑒔
11495	𑒕
11496	𑒖
11497	𑒗
11498	𑒘
11499	𑒙
1149a	𑒚
1149b	𑒛
1149c	𑒜
1149d	𑒝
1149e	𑒞
1149f	𑒟
114a0	𑒠
114a1	𑒡
114a2	𑒢
114a3	𑒣
114a4	𑒤
114a5	𑒥
114a6	𑒦
114a7	𑒧
114a8	𑒨
114a9	𑒩
114aa	𑒪
114ab	𑒫
114ac	𑒬
114ad	𑒭
114ae	𑒮
114af	𑒯
114b0	𑒰
114b1	𑒱
114b2	𑒲
114b3	𑒳
114b4	𑒴
114b5	𑒵
114b6	𑒶
114b7	𑒷
114b8	𑒸
114b9	𑒹
114ba	𑒺
114bb	𑒻
114bc	𑒼
114bd	𑒽
114be	𑒾
114bf	𑒿
114c0	𑓀
114c1	𑓁
114c2	𑓂
114c3	𑓃
114c4	𑓄
114c5	𑓅
114c6	𑓆
114c7	𑓇
114d0	𑓐
114d1	𑓑
114d2	𑓒
114d3	𑓓
114d4	𑓔
114d5	𑓕
114d6	𑓖
114d7	𑓗
114d8	𑓘
114d9	𑓙
11580	𑖀
11581	𑖁
11582	𑖂
11583	𑖃
11584	𑖄
11585	𑖅
11586	𑖆
11587	𑖇
11588	𑖈
11589	𑖉
1158a	𑖊
1158b	𑖋
1158c	𑖌
1158d	𑖍
1158e	𑖎
1158f	𑖏
11590	𑖐
11591	𑖑
11592	𑖒
11593	𑖓
11594	𑖔
11595	𑖕
11596	𑖖
11597	𑖗
11598	𑖘
11599	𑖙
1159a	𑖚
1159b	𑖛
1159c	𑖜
1159d	𑖝
1159e	𑖞
1159f	𑖟
115a0	𑖠
115a1	𑖡
115a2	𑖢
115a3	𑖣
115a4	𑖤
115a5	𑖥
115a6	𑖦
115a7	𑖧
115a8	𑖨
115a9	𑖩
115aa	𑖪
115ab	𑖫
115ac	𑖬
115ad	𑖭
115ae	𑖮
115af	𑖯
115b0	𑖰
115b1	𑖱
115b2	𑖲
115b3	𑖳
115b4	𑖴
115b5	𑖵
115b8	𑖸
115b9	𑖹
115ba	𑖺
115bb	𑖻
115bc	𑖼
115bd	𑖽
115be	𑖾
115bf	𑖿
115c0	𑗀
115c1	𑗁
115c2	𑗂
115c3	𑗃
115c4	𑗄
115c5	𑗅
115c6	𑗆
115c7	𑗇
115c8	𑗈
115c9	𑗉
115ca	𑗊
115cb	𑗋
115cc	𑗌
115cd	𑗍
115ce	𑗎
115cf	𑗏
115d0	𑗐
115d1	𑗑
115d2	𑗒
115d3	𑗓
115d4	𑗔
115d5	𑗕
115d6	𑗖
115d7	𑗗
115d8	𑗘
115d9	𑗙
115da	𑗚
115db	𑗛
115dc	𑗜
115dd	𑗝
11600	𑘀
11601	𑘁
11602	𑘂
11603	𑘃
11604	𑘄
11605	𑘅
11606	𑘆
11607	𑘇
11608	𑘈
11609	𑘉
1160a	𑘊
1160b	𑘋
1160c	𑘌
1160d	𑘍
1160e	𑘎
1160f	𑘏
11610	𑘐
11611	𑘑
11612	𑘒
11613	𑘓
11614	𑘔
11615	𑘕
11616	𑘖
11617	𑘗
11618	𑘘
11619	𑘙
1161a	𑘚
1161b	𑘛
1161c	𑘜
1161d	𑘝
1161e	𑘞
1161f	𑘟
11620	𑘠
11621	𑘡
11622	𑘢
11623	𑘣
11624	𑘤
11625	𑘥
11626	𑘦
11627	𑘧
11628	𑘨
11629	𑘩
1162a	𑘪
1162b	𑘫
1162c	𑘬
1162d	𑘭
1162e	𑘮
1162f	𑘯
11630	𑘰
11631	𑘱
11632	𑘲
11633	𑘳
11634	𑘴
11635	𑘵
11636	𑘶
11637	𑘷
11638	𑘸
11639	𑘹
1163a	𑘺
1163b	𑘻
1163c	𑘼
1163d	𑘽
1163e	𑘾
1163f	𑘿
11640	𑙀
11641	𑙁
11642	𑙂
11643	𑙃
11644	𑙄
11650	𑙐
11651	𑙑
11652	𑙒
11653	𑙓
11654	𑙔
11655	𑙕
11656	𑙖
11657	𑙗
11658	𑙘
11659	𑙙
11660	𑙠
11661	𑙡
11662	𑙢
11663	𑙣
11664	𑙤
11665	𑙥
11666	𑙦
11667	𑙧
11668	𑙨
11669	𑙩
1166a	𑙪
1166b	𑙫
1166c	𑙬
11680	𑚀
11681	𑚁
11682	𑚂
11683	𑚃
11684	𑚄
11685	𑚅
11686	𑚆
11687	𑚇
11688	𑚈
11689	𑚉
1168a	𑚊
1168b	𑚋
1168c	𑚌
1168d	𑚍
1168e	𑚎
1168f	𑚏
11690	𑚐
11691	𑚑
11692	𑚒
11693	𑚓
11694	𑚔
11695	𑚕
11696	𑚖
11697	𑚗
11698	𑚘
11699	𑚙
1169a	𑚚
1169b	𑚛
1169c	𑚜
1169d	𑚝
1169e	𑚞
1169f	𑚟
116a0	𑚠
116a1	𑚡
116a2	𑚢
116a3	𑚣
116a4	𑚤
116a5	𑚥
116a6	𑚦
116a7	𑚧
116a8	𑚨
116a9	𑚩
116aa	𑚪
116ab	𑚫
116ac	𑚬
116ad	𑚭
116ae	𑚮
116af	𑚯
116b0	𑚰
116b1	𑚱
116b2	𑚲
116b3	𑚳
116b4	𑚴
116b5	𑚵
116b6	𑚶
116b7	𑚷
116c0	𑛀
116c1	𑛁
116c2	𑛂
116c3	𑛃
116c4	𑛄
116c5	𑛅
116c6	𑛆
116c7	𑛇
116c8	𑛈
116c9	𑛉
11700	𑜀
11701	𑜁
11702	𑜂
11703	𑜃
11704	𑜄
11705	𑜅
11706	𑜆
11707	𑜇
11708	𑜈
11709	𑜉
1170a	𑜊
1170b	𑜋
1170c	𑜌
1170d	𑜍
1170e	𑜎
1170f	𑜏
11710	𑜐
11711	𑜑
11712	𑜒
11713	𑜓
11714	𑜔
11715	𑜕
11716	𑜖
11717	𑜗
11718	𑜘
11719	𑜙
